Year,IncidentLocation,Origin,Dead,Survived,Cause
2014,South-eastern Asia,Cambodia,6,13,Vehicle accident / death linked to hazardous transport
2014,Mediterranean,Syrian Arab Republic,1,356,Mixed or unknown
2014,South-eastern Asia,Cambodia,2,16,Vehicle accident / death linked to hazardous transport
2014,Northern Africa,Unknown,0,0,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,Unknown,4,0,Violence
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,South-eastern Asia,Indonesia,9,62,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,Eritrea,0,0,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,"Morocco,Syrian Arab Republic,Unknown",2,0,Drowning
2014,Mediterranean,"Cameroon,Somalia,Syrian Arab Republic",45,566,Vehicle accident / death linked to hazardous transport
2014,Mediterranean,Unknown,0,27,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,,13,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,"Eritrea,Syrian Arab Republic,Unknown",12,0,Drowning
2014,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,El Salvador,1,0,Mixed or unknown
2014,Mediterranean,Unknown,4,13,Drowning
2014,North America,El Salvador,1,0,Mixed or unknown
2014,Mediterranean,Unknown,12,0,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Guatemala,1,0,Mixed or unknown
2014,Mediterranean,Unknown,1,12,Drowning
2014,South-eastern Asia,Indonesia,2,60,Drowning
2014,Mediterranean,Unknown,3,90,Drowning
2014,Mediterranean,Unknown,0,61,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Guatemala,1,0,Mixed or unknown
2014,Mediterranean,"Egypt,Syrian Arab Republic",2,1,Drowning
2014,Mediterranean,Unknown,3,104,Drowning
2014,Mediterranean,Unknown,29,569,"Drowning,Mixed or unknown"
2014,Mediterranean,Unknown,5,61,Drowning
2014,Europe,Eritrea,1,0,Vehicle accident / death linked to hazardous transport
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,Unknown,20,22,Drowning
2014,North America,Mexico,1,0,Accidental death
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Northern Africa,Unknown,1,0,Violence
2014,Southern Asia,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Mediterranean,Syrian Arab Republic,2,200,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Europe,Afghanistan,1,34,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Mediterranean,Unknown,170,19,Drowning
2014,Mediterranean,"Côte d'Ivoire,Eritrea,Guinea,Libya,Mali,Palestinian Territories,Somalia,Sudan,Syrian Arab Republic",18,73,Drowning
2014,Caribbean,Cuba,4,0,Drowning
2014,Mediterranean,Unknown,24,364,Drowning
2014,Mediterranean,Unknown,1,0,Mixed or unknown
2014,Caribbean,Haiti,1,19,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Caribbean,"Dominican Republic,Haiti",0,0,Drowning
2014,North America,Unknown,44,0,Mixed or unknown
2014,Caribbean,Cuba,11,15,Mixed or unknown
2014,Mediterranean,Syrian Arab Republic,42,0,Drowning
2014,Mediterranean,,0,0,Drowning
2014,Northern Africa,Unknown,1,0,Violence
2014,Northern Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,Northern Africa,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Central America,El Salvador,64,0,Mixed or unknown
2014,Central America,Cuba,2,17,Drowning
2014,North America,Mexico,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,Eastern Asia,China,0,1,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Mexico,1,0,Drowning
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Mediterranean,"Egypt,Palestinian Territories,Sudan,Syrian Arab Republic",3,10,Drowning
2014,Mediterranean,Unknown,2,12,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,"Egypt,State of Palestine,Syrian Arab Republic",15,72,Drowning
2014,Mediterranean,Unknown,70,36,Drowning
2014,Mediterranean,Unknown,10,55,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,Western Asia,Syrian Arab Republic,1,0,Violence
2014,Western Asia,Syrian Arab Republic,2,0,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,Unknown,2,0,Drowning
2014,Eastern Africa,Unknown,64,0,Drowning
2014,Mediterranean,Unknown,10,85,Drowning
2014,Caribbean,Unknown,0,3,Drowning
2014,Mediterranean,Unknown,3,646,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Europe,Syrian Arab Republic,1,0,Drowning
2014,Europe,Syrian Arab Republic,1,0,Drowning
2014,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,South-eastern Asia,Unknown,0,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Eastern Africa,Unknown,1,0,Drowning
2014,Europe,Ethiopia,1,0,Vehicle accident / death linked to hazardous transport
2014,Europe,Sudan,1,0,Vehicle accident / death linked to hazardous transport
2014,Caribbean,Cuba,0,11,Drowning
2014,Mediterranean,Unknown,0,93,Drowning
2014,Central America,Guatemala,41,0,Mixed or unknown
2014,Western Asia,Afghanistan,27,6,Drowning
2014,Mediterranean,Afghanistan,0,5,Drowning
